round,loss,accuracy
1,0.021629685536026955,1.0
2,0.034255847334861755,0.9900000095367432
3,0.3888867199420929,0.8899999856948853
4,1.0744209289550781,0.8600000143051147
5,1.5523391962051392,0.8360000252723694
