class,precision_keras,recall_keras,f1_keras,support_keras,precision_tflite,recall_tflite,f1_tflite,support_tflite
A,0.9987745098039216,0.9941449133935106,0.9964543342706932,4099,0.9987745098039216,0.9941449133935106,0.9964543342706932,4099
B,0.9996539792387543,0.9989626556016598,0.9993081978554134,2892,0.9996539792387543,0.9989626556016598,0.9993081978554134,2892
C,0.9921259842519685,0.998019801980198,0.9950641658440277,1010,0.9921259842519685,0.998019801980198,0.9950641658440277,1010
D,0.9943465247755238,0.9933554817275747,0.9938507561907928,3010,0.9933244325767691,0.988704318936877,0.991008991008991,3010
E,0.9900924702774109,0.9960132890365448,0.9930440543226234,3010,0.9855215531424811,0.9950166112956811,0.9902463217060671,3010
